Wall time,Step,Value
1557505253.3129132,1522,159709120.0
1557505256.6450574,1524,137782576.0
1557505259.9671402,1526,153798976.0
1557505263.2963579,1528,118712712.0
1557505266.629852,1530,295903872.0
1557505269.9565196,1532,221656816.0
1557505273.2739344,1534,132350440.0
1557505276.6061838,1536,430917600.0
1557505279.9354594,1538,699845120.0
1557505283.2750003,1540,151737072.0
1557505286.611438,1542,272676032.0
1557505289.942694,1544,547399680.0
1557505293.2929645,1546,241191200.0
1557505296.6494262,1548,471405376.0
1557505299.9620392,1550,679614144.0
1557505303.2904654,1552,210956560.0
1557505306.6227462,1554,405702208.0
1557505309.9432487,1556,855697152.0
1557505313.2884684,1558,178651568.0
1557505316.6278617,1560,786143616.0
1557505319.983177,1562,1077996544.0
1557505323.314855,1564,164315008.0
1557505326.6419363,1566,826995520.0
1557505329.9543183,1568,370878208.0
1557505333.285112,1570,253595872.0
1557505336.626283,1572,321083360.0
1557505339.9662087,1574,156682544.0
1557505343.3159275,1576,205822512.0
1557505346.677945,1578,285148448.0
1557505350.0319216,1580,215855024.0
1557505353.3516245,1582,485544672.0
